STATUS | wrapper  | 2005/11/23 19:01:46 | xhive-server installed.
STATUS | wrapper  | 2005/11/23 19:01:46 | --> Wrapper Started as Service
STATUS | wrapper  | 2005/11/23 19:01:47 | Launching a JVM...
INFO   | jvm 1    | 2005/11/23 19:01:47 | Wrapper (Version 3.0.3)
INFO   | jvm 1    | 2005/11/23 19:01:47 | 
INFO   | jvm 1    | 2005/11/23 19:01:47 | X-Hive/DB 7.0.0 (c)1999-2004 X-Hive Corporation
INFO   | jvm 1    | 2005/11/23 19:01:47 | Server utility 6.0
INFO   | jvm 1    | 2005/11/23 19:01:47 | 
INFO   | wrapper  | 2005/11/23 19:02:21 | User logged out.  Ignored.
INFO   | wrapper  | 2005/11/23 19:02:42 | User logged out.  Ignored.
INFO   | jvm 1    | 2005/11/23 23:39:18 | JVM Process has not received any CPU time for 238 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/23 23:39:18 | Wrapper Process has not received any CPU time for 239 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/24 11:12:22 | Wrapper Process has not received any CPU time for 34566 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/24 11:12:22 | JVM Process has not received any CPU time for 34566 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/24 14:13:46 | JVM Process has not received any CPU time for 84 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/24 14:13:46 | Wrapper Process has not received any CPU time for 84 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/24 19:14:53 | Wrapper Process has not received any CPU time for 67 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/24 19:14:54 | JVM Process has not received any CPU time for 67 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/24 21:16:02 | Wrapper Process has not received any CPU time for 69 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/24 21:16:02 | JVM Process has not received any CPU time for 69 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/25 13:33:45 | Wrapper Process has not received any CPU time for 41397 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/25 13:33:45 | JVM Process has not received any CPU time for 41397 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/25 22:36:45 | Wrapper Process has not received any CPU time for 6585 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/25 22:36:46 | JVM Process has not received any CPU time for 6584 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/26 00:24:23 | JVM Process has not received any CPU time for 722 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/26 00:24:23 | Wrapper Process has not received any CPU time for 723 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/26 08:59:49 | Wrapper Process has not received any CPU time for 25848 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/26 08:59:49 | JVM Process has not received any CPU time for 25847 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/26 09:15:01 | Wrapper Process has not received any CPU time for 133 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/26 09:15:01 | JVM Process has not received any CPU time for 133 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/26 10:00:09 | Wrapper Process has not received any CPU time for 806 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/26 10:00:09 | JVM Process has not received any CPU time for 805 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/26 21:01:18 | Wrapper Process has not received any CPU time for 68 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/26 21:01:18 | JVM Process has not received any CPU time for 68 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/27 10:05:04 | JVM Process has not received any CPU time for 30098 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/27 10:05:05 | Wrapper Process has not received any CPU time for 30099 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/27 16:38:25 | Wrapper Process has not received any CPU time for 2973 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/27 16:38:25 | JVM Process has not received any CPU time for 2972 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/27 22:36:00 | Wrapper Process has not received any CPU time for 1592 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/27 22:36:01 | JVM Process has not received any CPU time for 1591 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/28 02:27:02 | Wrapper Process has not received any CPU time for 1492 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/28 02:27:02 | JVM Process has not received any CPU time for 1492 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/28 05:13:12 | Wrapper Process has not received any CPU time for 7847 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/28 05:13:12 | JVM Process has not received any CPU time for 7847 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/28 09:37:20 | Wrapper Process has not received any CPU time for 15106 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/28 09:37:20 | JVM Process has not received any CPU time for 15106 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/28 10:21:04 | Wrapper Process has not received any CPU time for 527 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/28 10:21:04 | JVM Process has not received any CPU time for 527 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/28 14:11:26 | JVM Process has not received any CPU time for 9061 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/28 14:11:26 | Wrapper Process has not received any CPU time for 9061 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/28 17:11:03 | JVM Process has not received any CPU time for 2514 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/28 17:11:03 | Wrapper Process has not received any CPU time for 2519 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/28 17:14:54 | User logged out.  Ignored.
INFO   | wrapper  | 2005/11/28 17:15:07 | User logged out.  Ignored.
INFO   | wrapper  | 2005/11/28 17:17:59 | User logged out.  Ignored.
INFO   | wrapper  | 2005/11/28 17:18:10 | User logged out.  Ignored.
INFO   | wrapper  | 2005/11/28 17:18:45 | User logged out.  Ignored.
INFO   | wrapper  | 2005/11/28 17:18:55 | User logged out.  Ignored.
INFO   | jvm 1    | 2005/11/29 09:27:45 | JVM Process has not received any CPU time for 25473 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/29 09:27:45 | Wrapper Process has not received any CPU time for 25474 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/29 15:02:03 | Wrapper Process has not received any CPU time for 18497 seconds.  Extending timeouts.
INFO   | jvm 1    | 2005/11/29 15:02:03 | JVM Process has not received any CPU time for 18497 seconds.  Extending timeouts.
INFO   | wrapper  | 2005/11/29 15:03:05 | User logged out.  Ignored.
INFO   | wrapper  | 2005/11/29 15:03:19 | User logged out.  Ignored.
STATUS | wrapper  | 2005/11/29 15:03:25 | Machine is shutting down.
STATUS | wrapper  | 2005/11/29 15:03:27 | <-- Wrapper Stopped
STATUS | wrapper  | 2005/11/29 15:05:11 | --> Wrapper Started as Service
STATUS | wrapper  | 2005/11/29 15:05:13 | Launching a JVM...
INFO   | jvm 1    | 2005/11/29 15:05:41 | Wrapper (Version 3.0.3)
