"Member","Date_of_Admission","Additional_Notes"
"Afghanistan",19 Nov. 1946,""
"Albania",14 Dec. 1955,""
"Algeria",8 Oct. 1962,""
"Andorra",28 July 1993,""
"Angola",1 Dec. 1976,""
"Antigua and Barbuda",11 Nov. 1981,""
"Argentina",24 Oct. 1945,""
"Armenia",2 Mar. 1992,""
"Australia",1 Nov. 1945,""
"Austria",14 Dec. 1955,""
"Azerbaijan",9 Mar. 1992,""
"Bahamas",18 Sep. 1973,""
"Bahrain",21 Sep. 1971,""
"Bangladesh",17 Sep. 1974,""
"Barbados",9 Dec. 1966,""
"Belarus",24 Oct. 1945,"On 19 September 1991, Byelorussia informed the United Nations that it had changed its name to Belarus."
"Belgium",27 Dec. 1945,""
"Belize",25 Sep. 1981,""
"Benin",20 Sep. 1960,""
"Bhutan",21 Sep. 1971,""
"Bolivia",14 Nov. 1945,""
"Bosnia and Herzegovina",22 May 1992,"The Socialist Federal Republic of Yugoslavia was an original Member of the United Nations, the Charter having been signed on its behalf on 26 June 1945 and ratified 19 October 1945, until its dissolution following the establishment and subsequent admission as new members of Bosnia and Herzegovina, the Republic of Croatia, the Republic of Slovenia, The former Yugoslav Republic of Macedonia, and the Federal Republic of Yugoslavia. The Republic of Bosnia and Herzegovina was admitted as a Member of the United Nations by General Assembly resolution A/RES/46/237 of 22 May 1992."
"Botswana",17 Oct. 1966,""
"Brazil",24 Oct. 1945,""
"Brunei Darussalam",21 Sep. 1984,""
"Bulgaria",14 Dec. 1955,""
"Burkina Faso",20 Sep. 1960,""
"Burundi",18 Sep. 1962,""
"Cambodia",14 Dec. 1955,""
"Cameroon",20 Sep. 1960,""
"Canada",9 Nov. 1945,""
"Cape Verde",16 Sep. 1975,""
"Central African Republic",20 Sep. 1960,""
"Chad",20 Sep. 1960,""
"Chile",24 Oct. 1945,""
"China",24 Oct. 1945,""
"Colombia",5 Nov. 1945,""
"Comoros",12 Nov. 1975,""
"Congo",20 Sep. 1960,""
"Costa Rica",2 Nov. 1945,""
"Côte d'Ivoire",20 Sep. 1960,""
"Croatia",22 May 1992,"The Socialist Federal Republic of Yugoslavia was an original Member of the United Nations, the Charter having been signed on its behalf on 26 June 1945 and ratified 19 October 1945, until its dissolution following the establishment and subsequent admission as new members of Bosnia and Herzegovina, the Republic of Croatia, the Republic of Slovenia, The former Yugoslav Republic of Macedonia, and the Federal Republic of Yugoslavia. The Republic of Croatia was admitted as a Member of the United Nations by General Assembly resolution A/RES/46/238 of 22 May 1992."
"Cuba",24 Oct. 1945,""
"Cyprus",20 Sep. 1960,""
"Czech Republic",19 Jan. 1993,"Czechoslovakia was an original Member of the United Nations from 24 October 1945. In a letter dated 10 December 1992, its Permanent Representative informed the Secretary-General that the Czech and Slovak Federal Republic would cease to exist on 31 December 1992 and that the Czech Republic and the Slovak Republic, as successor States, would apply for membership in the United Nations. Following the receipt of its application, the Security Council, on 8 January 1993, recommended to the General Assembly that the Czech Republic be admitted to United Nations membership. The Czech Republic was thus admitted on 19 January of that year as a Member State."
"Democratic People's Republic of Korea",17 Sep. 1991,""
"Democratic Republic of the Congo",20 Sep. 1960,""
"Denmark",24 Oct. 1945,""
"Djibouti",20 Sep. 1977,""
"Dominica",18 Dec. 1978,""
"Dominican Republic",24 Oct. 1945,""
"Ecuador",21 Dec. 1945,""
